10_BCE_0.01_0.0_2_1_3_3,ok
10_BCE_0.01_0.0_2_1_3_4,ok
10_BCE_0.01_0.0_2_1_9_3,ok
10_BCE_0.01_0.0_2_1_9_4,ok
10_BCE_0.01_0.0_2_2_3_3,ok
10_BCE_0.01_0.0_2_2_3_4,ok
10_BCE_0.01_0.0_2_2_9_3,ok
10_BCE_0.01_0.0_2_2_9_4,ok
10_BCE_0.01_0.2_2_1_3_3,ok
10_BCE_0.01_0.2_2_1_3_4,ok
10_BCE_0.01_0.2_2_1_9_3,ok
10_BCE_0.01_0.2_2_1_9_4,ok
10_BCE_0.01_0.2_2_2_3_3,ok
10_BCE_0.01_0.2_2_2_3_4,ok
10_BCE_0.01_0.2_2_2_9_3,ok
10_BCE_0.01_0.2_2_2_9_4,bad
10_BCE_0.03_0.0_2_1_3_3,ok
10_BCE_0.03_0.0_2_1_3_4,ok
10_BCE_0.03_0.0_2_1_9_3,ok
10_BCE_0.03_0.0_2_1_9_4,ok
10_BCE_0.03_0.0_2_2_3_3,ok
10_BCE_0.03_0.0_2_2_3_4,ok
10_BCE_0.03_0.0_2_2_9_3,bad
10_BCE_0.03_0.0_2_2_9_4,bad
10_BCE_0.03_0.2_2_1_3_3,ok
10_BCE_0.03_0.2_2_1_3_4,ok
10_BCE_0.03_0.2_2_1_9_3,ok
10_BCE_0.03_0.2_2_1_9_4,bad
10_BCE_0.03_0.2_2_2_3_3,ok
10_BCE_0.03_0.2_2_2_3_4,ok
10_BCE_0.03_0.2_2_2_9_3,bad
10_BCE_0.03_0.2_2_2_9_4,bad
10_BCE_0.1_0.0_2_1_3_3,bad
10_BCE_0.1_0.0_2_1_3_4,bad
10_BCE_0.1_0.0_2_1_9_3,bad
10_BCE_0.1_0.0_2_1_9_4,bad
10_BCE_0.1_0.0_2_2_3_3,ok
10_BCE_0.1_0.0_2_2_3_4,bad
10_BCE_0.1_0.0_2_2_9_3,bad
10_BCE_0.1_0.0_2_2_9_4,bad
10_BCE_0.1_0.2_2_1_3_3,ok
10_BCE_0.1_0.2_2_1_3_4,bad
10_BCE_0.1_0.2_2_1_9_3,bad
10_BCE_0.1_0.2_2_1_9_4,bad
10_BCE_0.1_0.2_2_2_3_3,bad
10_BCE_0.1_0.2_2_2_3_4,bad
10_BCE_0.1_0.2_2_2_9_3,bad
10_BCE_0.1_0.2_2_2_9_4,bad
2_BCE_0.01_0.0_2_1_3_3,ok
2_BCE_0.01_0.0_2_1_3_4,ok
2_BCE_0.01_0.0_2_1_9_3,ok
2_BCE_0.01_0.0_2_1_9_4,ok
2_BCE_0.01_0.0_2_2_3_3,ok
2_BCE_0.01_0.0_2_2_3_4,ok
2_BCE_0.01_0.0_2_2_9_3,ok
2_BCE_0.01_0.0_2_2_9_4,ok
2_BCE_0.01_0.2_2_1_3_3,ok
2_BCE_0.01_0.2_2_1_3_4,ok
2_BCE_0.01_0.2_2_1_9_3,ok
2_BCE_0.01_0.2_2_1_9_4,ok
2_BCE_0.01_0.2_2_2_3_3,ok
2_BCE_0.01_0.2_2_2_3_4,ok
2_BCE_0.01_0.2_2_2_9_3,ok
2_BCE_0.01_0.2_2_2_9_4,ok
2_BCE_0.03_0.0_2_1_3_3,ok
2_BCE_0.03_0.0_2_1_3_4,ok
2_BCE_0.03_0.0_2_1_9_3,ok
2_BCE_0.03_0.0_2_1_9_4,ok
2_BCE_0.03_0.0_2_2_3_3,ok
2_BCE_0.03_0.0_2_2_3_4,ok
2_BCE_0.03_0.0_2_2_9_3,ok
2_BCE_0.03_0.0_2_2_9_4,ok
2_BCE_0.03_0.2_2_1_3_3,ok
2_BCE_0.03_0.2_2_1_3_4,ok
2_BCE_0.03_0.2_2_1_9_3,ok
2_BCE_0.03_0.2_2_1_9_4,ok
2_BCE_0.03_0.2_2_2_3_3,ok
2_BCE_0.03_0.2_2_2_3_4,ok
2_BCE_0.03_0.2_2_2_9_3,ok
2_BCE_0.03_0.2_2_2_9_4,ok
2_BCE_0.1_0.0_2_1_3_3,bad
2_BCE_0.1_0.0_2_1_3_4,ok
2_BCE_0.1_0.0_2_1_9_3,ok
2_BCE_0.1_0.0_2_1_9_4,ok
2_BCE_0.1_0.0_2_2_3_3,ok
2_BCE_0.1_0.0_2_2_3_4,ok
2_BCE_0.1_0.0_2_2_9_3,ok
2_BCE_0.1_0.0_2_2_9_4,ok
2_BCE_0.1_0.2_2_1_3_3,ok
2_BCE_0.1_0.2_2_1_3_4,ok
2_BCE_0.1_0.2_2_1_9_3,ok
2_BCE_0.1_0.2_2_1_9_4,ok
2_BCE_0.1_0.2_2_2_3_3,ok
2_BCE_0.1_0.2_2_2_3_4,ok
2_BCE_0.1_0.2_2_2_9_3,ok
2_BCE_0.1_0.2_2_2_9_4,ok